title,cuisine,rating,reviewsCount,street,url,location/lat,location/lng
The Restaurant- Heliopolis Club,Restaurant,5,1,16 Al Sobki,https://www.google.com/maps/search/?api=1&query=The%20Restaurant-%20Heliopolis%20Club&query_place_id=ChIJWeZXTA0_WBQRYnTvOgvB8wg,30.0877794,31.3151738
BASTERMA MANO,Lebanese restaurant,4.4,335,Kobri Al Merghani,https://www.google.com/maps/search/?api=1&query=BASTERMA%20MANO&query_place_id=ChIJ1aCpmHY_WBQR_7NgV6gpOfA,30.0840095,31.3276885
Asian Corner - Rafale Food court,Asian restaurant,4.1,100,22 Ahmed Tayseer,https://www.google.com/maps/search/?api=1&query=Asian%20Corner%20-%20Rafale%20Food%20court&query_place_id=ChIJl3RuiRQ_WBQRr6bLNiK09MQ,30.0790754,31.3261162
Daddy's Burger Heliopolis,Hamburger restaurant,4.2,237,,https://www.google.com/maps/search/?api=1&query=Daddy's%20Burger%20Heliopolis&query_place_id=ChIJxXa5LsI_WBQRGamClwQ3nc4,30.0830192,31.3214667
ALMA LOUNGE,Restaurant,4.2,378,17 El-Tawfik,https://www.google.com/maps/search/?api=1&query=ALMA%20LOUNGE&query_place_id=ChIJjdMa9Rg_WBQRsnFztjhpVmY,30.0821674,31.3274479
kokoro Restaurant & Cafe,Restaurant,4.1,69,21 Al Mahrouki,https://www.google.com/maps/search/?api=1&query=kokoro%20Restaurant%20%26%20Cafe&query_place_id=ChIJp9aji5c_WBQR2yHLRRm5-UI,30.0827832,31.3215272
Chickenza,Chicken restaurant,4.3,19,6 Ahmed Tayseer,https://www.google.com/maps/search/?api=1&query=Chickenza&query_place_id=ChIJJ-uRbJ0_WBQR3QZ9DAsJ1UI,30.0832275,31.3291354
AZ Black Cafe & Restaurant,Cafe,4.9,35,64 El-Sayed El-Merghany,https://www.google.com/maps/search/?api=1&query=AZ%20Black%20Cafe%20%26%20Restaurant&query_place_id=ChIJA4ZlVwY_WBQRYyyMyfhHmW8,30.0848566,31.3244721
"Del casa Italian cuisine, cafe and Restaurant",Italian restaurant,4.2,80,22 Ahmed Tayseer,https://www.google.com/maps/search/?api=1&query=Del%20casa%20Italian%20cuisine%2C%20cafe%20and%20Restaurant&query_place_id=ChIJ_QflaPs_WBQRpVhJTEsuUQo,30.0790754,31.3261162
MILLIY TAOMLAR,Asian restaurant,5,4,35 Africa - Emtedad Moustafa Al Nahas,https://www.google.com/maps/search/?api=1&query=MILLIY%20TAOMLAR&query_place_id=ChIJKyAD9iU9WBQRRjTzv4LVCdE,30.0571101,31.3629157
Timoo,Fast food restaurant,4,2,Al Daght Al Aali,https://www.google.com/maps/search/?api=1&query=Timoo&query_place_id=ChIJacHG25g9WBQRgNJXcEyiHic,30.046145,31.3653518
Garcia Restaurant & Cafe,Restaurant,3.9,3365,5 Baghdad St,https://www.google.com/maps/search/?api=1&query=Garcia%20Restaurant%20%26%20Cafe&query_place_id=ChIJy2nLVG8_WBQRmtYumPBwEzQ,30.0891658,31.3221648
شاورمة المعلم أبو مازن السورية الأصلى,Syrian restaurant,3.9,856,,https://www.google.com/maps/search/?api=1&query=%D8%B4%D8%A7%D9%88%D8%B1%D9%85%D8%A9%20%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%85%20%D8%A3%D8%A8%D9%88%20%D9%85%D8%A7%D8%B2%D9%86%20%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A3%D8%B5%D9%84%D9%89&query_place_id=ChIJwbtT4sc9WBQRruzt0oLnrPA,30.0484065,31.3761045
أسماك اليوم للمأكولات البحرية,Seafood restaurant,4,2,"سوق 49- بجوار مسجد الغفران،",https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%B3%D9%85%D8%A7%D9%83%20%D8%A7%D9%84%D9%8A%D9%88%D9%85%20%D9%84%D9%84%D9%85%D8%A3%D9%83%D9%88%D9%84%D8%A7%D8%AA%20%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D8%A9&query_place_id=ChIJT4DJOts9WBQRtT1n_LjduOg,30.0545677,31.3647842
Shantung Restaurant,Chinese restaurant,4.8,114,7 Asmaa Fahmi,https://www.google.com/maps/search/?api=1&query=Shantung%20Restaurant&query_place_id=ChIJXYOv8W4_WBQRxNFSwoFmD_0,30.0803683,31.3325952
3alkhafeef Ramadan Tent Locatin ebic walk,Egyptian restaurant,4.6,9,395G+JF,https://www.google.com/maps/search/?api=1&query=3alkhafeef%20Ramadan%20Tent%20Locatin%20ebic%20walk&query_place_id=ChIJ-zyH6zg9WBQRE0h7l1ZnXGA,30.0588512,31.3760209
Tiko's,Chicken restaurant,3,58,29XJ+G4V Military Court,https://www.google.com/maps/search/?api=1&query=Tiko's&query_place_id=ChIJa_-oqNQ9WBQRZLMVmvvtSz4,30.0488681,31.3803056
Lusail Cafe,Cafe,4.2,92,"45 Ahmed El-Zomor، El-Hey",https://www.google.com/maps/search/?api=1&query=Lusail%20Cafe&query_place_id=ChIJOR-exCQ9WBQR0OBX5McnE2k,30.0471758,31.3643354
Shawarma kebab,Shawarma restaurant,4.5,87,"محطة الجامع, Al Swissri Marhala B",https://www.google.com/maps/search/?api=1&query=Shawarma%20kebab&query_place_id=ChIJe_ZnU_89WBQRZSzpYRzg1lU,30.0463766,31.3680968
Koshary El Sheikh,Koshari restaurant,3.9,1227,مشروع 1 عماره 6 ش احمد الزمر امام موقف ألف مسكن,https://www.google.com/maps/search/?api=1&query=Koshary%20El%20Sheikh&query_place_id=ChIJ33b5wd49WBQRH3Q3I-W0ROA,30.0484638,31.3770649
كشري الخديوي,Fast food restaurant,4.2,224,,https://www.google.com/maps/search/?api=1&query=%D9%83%D8%B4%D8%B1%D9%8A%20%D8%A7%D9%84%D8%AE%D8%AF%D9%8A%D9%88%D9%8A&query_place_id=ChIJ5zOdjSg9WBQRtLtgZd00L7A,30.047929,31.3802029
Ghada,Restaurant,4.3,6,"2214, 705 شارع الميثاق, زهراء مدينة نصر، الميثاق، مدينة نصر، محافظة القاهرة‬،",https://www.google.com/maps/search/?api=1&query=Ghada&query_place_id=ChIJb7am5jc9WBQRyvAafEaq6j4,30.0558716,31.3869071
شركه شبانه للاستشارات و اداره المطاعم / SHABANA RESTAURANTS CONSULTANT COMPANY,Food and beverage consultant,4.2,19,1 Ahmed El-Zomor,https://www.google.com/maps/search/?api=1&query=%D8%B4%D8%B1%D9%83%D9%87%20%D8%B4%D8%A8%D8%A7%D9%86%D9%87%20%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA%20%D9%88%20%D8%A7%D8%AF%D8%A7%D8%B1%D9%87%20%D8%A7%D9%84%D9%85%D8%B7%D8%A7%D8%B9%D9%85%20%2F%20SHABANA%20RESTAURANTS%20CONSULTANT%20COMPANY&query_place_id=ChIJp_KECHg9WBQRpBUmsJyR5TM,30.0493245,31.3797076
شاويينو,Barbecue restaurant,3.7,3,"29W8+H92, Al Daght Al Aali",https://www.google.com/maps/search/?api=1&query=%D8%B4%D8%A7%D9%88%D9%8A%D9%8A%D9%86%D9%88&query_place_id=ChIJZ7-4PwA9WBQRkX_BkLLi8ZY,30.046546,31.3656711
Alaswany الاسوانى,Pizza restaurant,4,2,"392J+949, Zaharaa Madinat Nasr School",https://www.google.com/maps/search/?api=1&query=Alaswany%20%D8%A7%D9%84%D8%A7%D8%B3%D9%88%D8%A7%D9%86%D9%89&query_place_id=ChIJK_8EIhM9WBQR4c29bBUYht4,30.0508828,31.3802173
الفيروز - الشركة الوطنية للثروة السمكية والاحياء المائية,Seafood restaurant,3.3,7,392Q+45G,https://www.google.com/maps/search/?api=1&query=%D8%A7%D9%84%D9%81%D9%8A%D8%B1%D9%88%D8%B2%20-%20%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A9%20%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9%20%D9%84%D9%84%D8%AB%D8%B1%D9%88%D8%A9%20%D8%A7%D9%84%D8%B3%D9%85%D9%83%D9%8A%D8%A9%20%D9%88%D8%A7%D9%84%D8%A7%D8%AD%D9%8A%D8%A7%D8%A1%20%D8%A7%D9%84%D9%85%D8%A7%D8%A6%D9%8A%D8%A9&query_place_id=ChIJV74xZcM9WBQRjfXqeaTQSiw,30.0501595,31.388247
حضرموت انس hadramot anas,Restaurant,4,33,28 Africa - Emtedad Moustafa Al Nahas,https://www.google.com/maps/search/?api=1&query=%D8%AD%D8%B6%D8%B1%D9%85%D9%88%D8%AA%20%D8%A7%D9%86%D8%B3%20hadramot%20anas&query_place_id=ChIJBYkQ9nU9WBQRAxSbktob9FU,30.0568556,31.3644262
كبده و مخ و جمبري و فيليه ادهم الشرقاوي,Fast food restaurant,4,1,Mahdy Arafa,https://www.google.com/maps/search/?api=1&query=%D9%83%D8%A8%D8%AF%D9%87%20%D9%88%20%D9%85%D8%AE%20%D9%88%20%D8%AC%D9%85%D8%A8%D8%B1%D9%8A%20%D9%88%20%D9%81%D9%8A%D9%84%D9%8A%D9%87%20%D8%A7%D8%AF%D9%87%D9%85%20%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D8%A7%D9%88%D9%8A&query_place_id=ChIJjRZ8gOU9WBQRIm1zFxvZi4w,30.0497094,31.3789024
عربية فول ابو آيه,Breakfast restaurant,4.3,11,394G+P5H,https://www.google.com/maps/search/?api=1&query=%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9%20%D9%81%D9%88%D9%84%20%D8%A7%D8%A8%D9%88%20%D8%A2%D9%8A%D9%87&query_place_id=ChIJcSnxfBU9WBQRBQkwEOia9cg,30.0568045,31.3754844
كبابجي الحافي,Fast food restaurant,4.3,3,محور مهدي عرفة,https://www.google.com/maps/search/?api=1&query=%D9%83%D8%A8%D8%A7%D8%A8%D8%AC%D9%8A%20%D8%A7%D9%84%D8%AD%D8%A7%D9%81%D9%8A&query_place_id=ChIJfx-YQAA9WBQR7Mp4aFUkWmA,30.0483087,31.3785537
